Transaction_ID,Date,State,City,Category,Product,Quantity,Unit_Price_INR,Total_Sales_INR,Customer_Type,Payment_Method
1,2026-08-01,Andhra Pradesh,Tirupati,Vegetables,Potato,120.0,42.5,5100.0,Retail,UPI
2,2026-08-02,Andhra Pradesh,Tirupati,Dairy,Paneer,35.0,280.0,9800.0,Retail,Cash
3,2026-08-03,Andhra Pradesh,Nellore,Fruits,Banana,180.0,38.0,6840.0,Retail,UPI
4,2026-08-04,Andhra Pradesh,Chittoor,Groceries,Rice,75.0,62.0,4650.0,Wholesale,Bank Transfer
5,2026-08-05,Andhra Pradesh,Tirupati,Beverages,Juice,95.0,55.0,5225.0,Retail,UPI
6,2026-08-06,Andhra Pradesh,Nellore,Vegetables,Tomato,140.0,48.0,6720.0,Retail,Cash
7,2026-08-07,Andhra Pradesh,Tirupati,Groceries,Wheat Flour,60.0,52.0,3120.0,Wholesale,UPI
8,2026-08-08,Andhra Pradesh,Chittoor,Dairy,Milk,210.0,,12180.0,Retail,Cash
9,2026-08-09,Andhra Pradesh,Tirupati,Snacks,Biscuits,130.0,30.0,3900.0,Retail,UPI
10,2026-08-10,Andhra Pradesh,Nellore,Fruits,Apple,65.0,145.0,9425.0,Retail,Card
11,2026-08-11,Andhra Pradesh,Tirupati,Vegetables,Carrot,90.0,70.0,6300.0,Retail,UPI
12,2026-08-12,Andhra Pradesh,Chittoor,Groceries,Sugar,85.0,46.0,3910.0,Wholesale,Bank Transfer
13,2026-08-13,Andhra Pradesh,Tirupati,Dairy,Curd,125.0,65.0,8125.0,Retail,Cash
14,2026-08-14,Andhra Pradesh,Nellore,Beverages,Soft Drink,160.0,45.0,7200.0,Retail,UPI
15,2026-08-15,Andhra Pradesh,,Snacks,Chips,220.0,25.0,5500.0,Retail,UPI
16,2026-08-16,Andhra Pradesh,Chittoor,Vegetables,Onion,175.0,50.0,8750.0,Wholesale,Cash
17,2026-08-17,Andhra Pradesh,Tirupati,Fruits,Orange,100.0,85.0,8500.0,Retail,Card
18,2026-08-18,Andhra Pradesh,Nellore,Groceries,Dal,70.0,110.0,7700.0,Retail,UPI
19,2026-08-19,Andhra Pradesh,Tirupati,Dairy,Butter,45.0,260.0,11700.0,Retail,Cash
20,2026-08-20,Andhra Pradesh,Chittoor,Beverages,Tea,55.0,190.0,10450.0,Wholesale,Bank Transfer
21,2026-08-21,Andhra Pradesh,Tirupati,Vegetables,Brinjal,115.0,58.0,6670.0,Retail,UPI
22,2026-08-22,Andhra Pradesh,Nellore,Fruits,Papaya,80.0,65.0,5200.0,Retail,Cash
23,2026-08-23,Andhra Pradesh,Tirupati,Groceries,Salt,150.0,22.0,3300.0,Retail,UPI
24,2026-08-24,Andhra Pradesh,Chittoor,Dairy,Cheese,,320.0,12800.0,Retail,Card
25,2026-08-25,Andhra Pradesh,Tirupati,Snacks,Namkeen,90.0,75.0,6750.0,Retail,Cash
26,2026-08-26,Andhra Pradesh,Nellore,Vegetables,Cabbage,100.0,45.0,4500.0,Wholesale,UPI
27,2026-08-27,Andhra Pradesh,Tirupati,Fruits,Mango,75.0,120.0,9000.0,Retail,UPI
28,2026-08-28,Andhra Pradesh,Chittoor,Groceries,Cooking Oil,50.0,155.0,7750.0,Retail,Bank Transfer
29,2026-08-29,Andhra Pradesh,Tirupati,Dairy,Yogurt,85.0,70.0,5950.0,Retail,Cash
30,2026-08-30,Andhra Pradesh,Nellore,Beverages,Coffee,45.0,240.0,10800.0,Wholesale,UPI
31,2026-08-31,Andhra Pradesh,Tirupati,Vegetables,Beans,80.0,78.0,6240.0,Retail,Card
32,2026-09-01,Andhra Pradesh,Chittoor,Fruits,Guava,110.0,60.0,6600.0,Retail,
33,2026-09-02,Andhra Pradesh,Tirupati,Groceries,Rava,70.0,55.0,3850.0,Wholesale,Cash
34,2026-09-03,Andhra Pradesh,Nellore,Dairy,Ghee,30.0,580.0,17400.0,Retail,Bank Transfer
35,2026-09-04,Andhra Pradesh,Tirupati,Snacks,Cake,25.0,350.0,8750.0,Retail,UPI
36,2026-09-05,Andhra Pradesh,Chittoor,Vegetables,Cauliflower,65.0,72.0,4680.0,Retail,Cash
37,2026-09-06,Andhra Pradesh,Tirupati,Fruits,Grapes,95.0,95.0,9025.0,Retail,UPI
38,2026-09-07,Andhra Pradesh,Nellore,Groceries,Poha,80.0,58.0,4640.0,Wholesale,Card
39,2026-09-08,Andhra Pradesh,Tirupati,Dairy,Lassi,100.0,55.0,5500.0,Retail,Cash
40,2026-09-09,Andhra Pradesh,Chittoor,Beverages,Water Bottle,250.0,20.0,5000.0,Retail,UPI
41,2026-09-10,Andhra Pradesh,Tirupati,Vegetables,Spinach,130.0,30.0,3900.0,Retail,UPI
42,2026-09-11,Andhra Pradesh,Nellore,Fruits,Watermelon,55.0,90.0,4950.0,Retail,Cash
43,2026-09-12,Andhra Pradesh,Tirupati,,Bisleri Water,100.0,25.0,2500.0,Wholesale,Bank Transfer
44,2026-09-13,Andhra Pradesh,Chittoor,Dairy,Paneer,50.0,285.0,14250.0,Retail,Card
45,2026-09-14,Andhra Pradesh,Tirupati,Snacks,Samosa,180.0,18.0,3240.0,Retail,Cash
46,2026-09-15,Andhra Pradesh,Nellore,Vegetables,Potato,145.0,44.0,6380.0,Wholesale,UPI
47,2026-09-16,Andhra Pradesh,Tirupati,Fruits,Pomegranate,45.0,180.0,8100.0,Retail,UPI
48,2026-09-17,Andhra Pradesh,Chittoor,Groceries,Besan,60.0,82.0,4920.0,Retail,Cash
49,2026-09-18,Andhra Pradesh,Tirupati,Dairy,Milk,230.0,60.0,13800.0,Retail,Card
50,2026-09-19,Andhra Pradesh,Nellore,Beverages,Energy Drink,75.0,110.0,8250.0,Retail,UPI
51,2026-09-20,Andhra Pradesh,Tirupati,Vegetables,Lady Finger,90.0,65.0,5850.0,Retail,Cash
52,2026-09-21,Andhra Pradesh,Chittoor,Fruits,Pineapple,60.0,85.0,5100.0,Wholesale,Bank Transfer
53,2026-09-22,Andhra Pradesh,Tirupati,Groceries,Maida,85.0,48.0,4080.0,Retail,UPI
54,2026-09-23,Andhra Pradesh,Nellore,Dairy,Curd,140.0,68.0,9520.0,Retail,Cash
55,2026-09-24,Andhra Pradesh,Tirupati,Snacks,Mixture,75.0,90.0,6750.0,Retail,UPI
56,2026-09-25,Andhra Pradesh,Chittoor,Vegetables,Green Peas,50.0,110.0,,Wholesale,Card
57,2026-09-26,Andhra Pradesh,Tirupati,Fruits,Sapota,70.0,75.0,5250.0,Retail,Cash
58,2026-09-27,Andhra Pradesh,Nellore,Groceries,Toor Dal,65.0,135.0,8775.0,Retail,UPI
59,2026-09-28,Andhra Pradesh,Tirupati,Dairy,Butter,38.0,270.0,10260.0,Retail,Bank Transfer
